rate,cell,alley,trial,texture,reward,spatialBin
1.9218125974762528,0,16,11,A,0,9
2.03688192726104,0,16,11,A,0,10
1.791759469228055,0,16,11,A,0,11
1.791759469228055,0,16,12,B,0,0
0.9808292530117263,0,16,12,B,0,1
0.0,0,16,12,B,0,2
0.0,0,16,12,B,0,3
0.0,0,16,12,B,0,4
1.252762968495368,0,16,12,B,0,5
1.791759469228055,0,16,12,B,0,6
1.8495790401168812,0,16,12,B,0,7
2.074967261284915,0,16,12,B,0,8
2.181224235989778,0,16,12,B,0,9
1.9810014688665833,0,16,12,B,0,10
1.55814461804655,0,16,12,B,0,11
2.1400661634962708,0,16,13,C,0,0
2.3978952727983707,0,16,13,C,0,1
1.791759469228055,0,16,13,C,0,2
2.3978952727983707,0,16,13,C,0,3
3.1570004211501135,0,16,13,C,0,4
2.8716796248840124,0,16,13,C,0,5
2.4709204078132605,0,16,13,C,0,6
2.6330871626287546,0,16,13,C,0,7
2.1400661634962708,0,16,13,C,0,8
1.9810014688665833,0,16,13,C,0,9
2.538973871058276,0,16,13,C,0,10
2.6026896854443837,0,16,13,C,0,11
0.0,0,16,14,C,1,0
0.0,0,16,14,C,1,1
2.772588722239781,0,16,14,C,1,2
3.4339872044851463,0,16,14,C,1,3
3.044522437723423,0,16,14,C,1,4
2.3978952727983707,0,16,14,C,1,5
2.1400661634962708,0,16,14,C,1,6
2.181224235989778,0,16,14,C,1,7
2.3870137726108362,0,16,14,C,1,8
1.9727573990915013,0,16,14,C,1,9
2.538973871058276,0,16,14,C,1,10
3.4339872044851463,0,16,14,C,1,11
1.55814461804655,0,16,15,B,0,0
1.791759469228055,0,16,15,B,0,1
1.252762968495368,0,16,15,B,0,2
1.252762968495368,0,16,15,B,0,3
2.6026896854443837,0,16,15,B,0,4
3.004031076368686,0,16,15,B,0,5
2.6817822742815998,0,16,15,B,0,6
2.4471663218051534,0,16,15,B,0,7
2.3460702049337847,0,16,15,B,0,8
1.4663370687934272,0,16,15,B,0,9
1.791759469228055,0,16,15,B,0,10
2.772588722239781,0,16,15,B,0,11
0.9291941367100629,0,16,16,A,1,0
0.7998055549333716,0,16,16,A,1,1
0.8370413602200144,0,16,16,A,1,2
1.4271163556401456,0,16,16,A,1,3
1.7171486054368803,0,16,16,A,1,4
1.3789142538222683,0,16,16,A,1,5
0.8587862373939639,0,16,16,A,1,6
0.994933859193268,0,16,16,A,1,7
1.6162329555669293,0,16,16,A,1,8
2.1606490718496656,0,16,16,A,1,9
2.3460702049337847,0,16,16,A,1,10
2.4709204078132605,0,16,16,A,1,11
0.0,0,16,17,C,0,0
0.0,0,16,17,C,0,1
1.252762968495368,0,16,17,C,0,2
1.791759469228055,0,16,17,C,0,3
2.1400661634962708,0,16,17,C,0,4
2.505525936990736,0,16,17,C,0,5
2.277267285009756,0,16,17,C,0,6
1.749199854809259,0,16,17,C,0,7
2.02595285672885,0,16,17,C,0,8
2.1594842493533726,0,16,17,C,0,9
1.9218125974762528,0,16,17,C,0,10
