Allo-,Ego,Allo+,Ts exit,Ts entry,Alley-,Inter,Alley+
2,1,2,4586951609.0,4587184210.0,0,B,4
2,1,2,4587887224.0,4588318764.0,4,C,6
2,2,3,4620118167.0,4624421816.0,6,D,7
3,1,3,4627591424.0,4628091577.0,7,H,9
3,2,4,4634664351.0,4634797522.0,9,L,10
4,1,4,4635732512.0,4636065790.0,10,K,13
4,2,1,4637601047.0,4637768156.0,13,J,14
1,2,2,4639636189.0,4640238101.0,14,F,12
2,1,2,4641371753.0,4641671174.0,12,G,8
2,2,3,4643673773.0,4644274487.0,8,H,9
3,2,4,4645608094.0,4645709228.0,9,L,10
4,1,4,4646576640.0,4646776504.0,10,K,13
4,2,1,4648746012.0,4648812100.0,13,J,14
1,1,1,4652783003.0,4652983205.0,14,F,3
1,2,2,4653383070.0,4653550170.0,3,B,4
2,1,2,4654317957.0,4654817902.0,4,C,6
4,4,3,4655718741.0,4655752511.0,6,C,5
3,2,4,4656486186.0,4656721038.0,5,G,12
4,1,4,4658354927.0,4658689016.0,12,F,1
4,2,1,4672302979.0,4672402400.0,1,E,2
1,2,2,4673270308.0,4673370404.0,2,A,0
2,1,2,4673969933.0,4674203769.0,0,B,4
2,2,3,4674904492.0,4675139118.0,4,C,5
3,1,3,4676039959.0,4676239322.0,5,G,11
1,4,4,4676873889.0,4677041298.0,11,G,12
4,1,4,4677775249.0,4678108626.0,12,F,1
2,2,3,4680511023.0,4680611532.0,1,F,14
3,2,4,4686416880.0,4686718414.0,14,J,15
2,1,2,4687751465.0,4688051986.0,15,J,13
4,2,1,4690388236.0,4690488932.0,13,J,14
1,1,1,4691254795.0,4691520032.0,14,F,3
1,2,2,4692189210.0,4692356458.0,3,B,4
2,1,2,4693122851.0,4693423177.0,4,C,6
2,2,3,4702166680.0,4702364950.0,6,D,7
3,1,3,4703334233.0,4703667328.0,7,H,9
3,2,4,4704834785.0,4704968806.0,9,L,10
4,1,4,4706237128.0,4706537281.0,10,K,13
4,2,1,4707905975.0,4708071918.0,13,J,14
1,2,2,4709473542.0,4710139948.0,14,F,12
2,1,2,4711374286.0,4715278969.0,12,G,8
2,2,3,4733832955.0,4734264884.0,8,H,9
3,2,4,4735433499.0,4735564635.0,9,L,10
4,1,4,4736501161.0,4736700959.0,10,K,13
4,2,1,4737935611.0,4738069221.0,13,J,14
1,1,1,4746775723.0,4746977172.0,14,F,3
1,2,2,4747377714.0,4747544746.0,3,B,4
2,1,2,4748378641.0,4748646508.0,4,C,6
2,2,3,4751415312.0,4751681987.0,6,D,7
3,1,3,4752515348.0,4752783030.0,7,H,9
3,2,4,4754418787.0,4754518223.0,9,L,10
4,1,4,4756086856.0,4756786445.0,10,K,13
4,2,1,4758588330.0,4758656590.0,13,J,14
1,1,1,4762960800.0,4763160563.0,14,F,3
1,2,2,4763827560.0,4763994754.0,3,B,4
2,1,2,4764693280.0,4765262983.0,4,C,6
4,4,3,4766062701.0,4766196575.0,6,C,5
3,2,4,4767030223.0,4767197782.0,5,G,12
4,1,4,4768631510.0,4768898088.0,12,F,1
4,2,1,4779709091.0,4779776281.0,1,E,2
1,2,2,4780744109.0,4780810865.0,2,A,0
2,1,2,4781312466.0,4781579884.0,0,B,4
2,2,3,4782345390.0,4783012700.0,4,C,5
3,1,3,4783847466.0,4784114608.0,5,G,11
1,2,2,4786016124.0,4786150331.0,11,G,8
2,2,3,4787317073.0,4788452629.0,8,H,9
3,2,4,4789586707.0,4789718804.0,9,L,10
4,2,1,4798362115.0,4802231149.0,10,K,11
3,2,4,4805836073.0,4805869046.0,11,K,13
4,2,1,4807770913.0,4807871097.0,13,J,14
1,2,2,4812911425.0,4813043332.0,14,F,12
2,1,2,4814612397.0,4815044793.0,12,G,8
4,2,1,4818081719.0,4818182205.0,8,G,5
1,2,2,4819082910.0,4819282704.0,5,C,6
2,2,3,4821118810.0,4827556261.0,6,D,7
3,1,3,4830593388.0,4830959854.0,7,H,9
3,2,4,4832496612.0,4832596901.0,9,L,10
4,1,4,4833197735.0,4833631825.0,10,K,13
2,4,1,4834664747.0,4835031436.0,13,K,11
1,1,1,4835365771.0,4835664524.0,11,G,5
3,2,4,4837133940.0,4837200505.0,5,G,12
4,1,4,4849313121.0,4849646535.0,12,F,1
4,2,1,4850714978.0,4850780197.0,1,E,2
1,2,2,4851514804.0,4851649327.0,2,A,0
2,1,2,4852048391.0,4852283106.0,0,B,4
2,3,4,4853450644.0,4859221932.0,4,C,4
2,1,2,4861658916.0,4861991962.0,4,C,6
2,3,4,4867531848.0,4868097853.0,6,D,6
2,2,3,4869668567.0,4869967165.0,6,D,7
3,2,4,4871435236.0,4872070619.0,7,H,8
4,2,1,4873003790.0,4873203186.0,8,G,5
3,2,4,4874472164.0,4874504843.0,5,G,12
4,1,4,4875605422.0,4875872433.0,12,F,1
4,2,1,4876739397.0,4876806140.0,1,E,2
1,2,2,4877708412.0,4877774792.0,2,A,0
2,1,2,4878240570.0,4878507840.0,0,B,4
2,1,2,4879442339.0,4879675187.0,4,C,6
2,2,3,4881378826.0,4883880764.0,6,D,7
3,1,3,4884448112.0,4884881765.0,7,H,9
3,2,4,4886014856.0,4886149101.0,9,L,10
4,1,4,4886584785.0,4886817133.0,10,K,13
4,1,4,4887486131.0,4887784929.0,13,J,15
2,4,1,4888686065.0,4888851849.0,15,J,14
1,1,1,4899796248.0,4900096760.0,14,F,3
1,2,2,4900463145.0,4900664002.0,3,B,4
2,1,2,4901299100.0,4901531309.0,4,C,6
4,4,3,4902465577.0,4902565825.0,6,C,5
3,2,4,4904001380.0,4904133701.0,5,G,12
4,2,1,4914111631.0,4914210498.0,12,F,3
3,2,4,4914979180.0,4915044327.0,3,F,1
4,2,1,4916747116.0,4916879770.0,1,E,2
1,2,2,4917813902.0,4917948396.0,2,A,0
2,1,2,4918315114.0,4918581322.0,0,B,4
2,3,4,4920350271.0,4925187673.0,4,C,4
2,1,2,4928092417.0,4928425211.0,4,C,6
4,4,3,4929493339.0,4929593883.0,6,C,5
3,2,4,4930458982.0,4930594275.0,5,G,12
2,2,3,4933562849.0,4933997079.0,12,G,11
1,2,2,4935164832.0,4935299401.0,11,G,8
4,2,1,4936766205.0,4937066699.0,8,G,5
3,2,4,4938769118.0,4938836055.0,5,G,12
4,1,4,4939403358.0,4939869705.0,12,F,1
4,2,1,4941271275.0,4941339231.0,1,E,2
1,2,2,4942271675.0,4942372203.0,2,A,0
2,1,2,4942771862.0,4943040967.0,0,B,4
2,1,2,4943874746.0,4944106695.0,4,C,6
2,2,3,4945243621.0,4945476646.0,6,D,7
3,2,4,4946509744.0,4946811054.0,7,H,8
4,2,1,4948245782.0,4948444735.0,8,G,5
3,2,4,4949480221.0,4949547480.0,5,G,12
4,1,4,4950813646.0,4951114660.0,12,F,1
4,2,1,4952150225.0,4952215135.0,1,E,2
1,2,2,4953149175.0,4953249956.0,2,A,0
2,1,2,4953683905.0,4953984249.0,0,B,4
2,1,2,4954751649.0,4955052026.0,4,C,6
2,2,3,4956185233.0,4956386605.0,6,D,7
3,1,3,4957320311.0,4957620888.0,7,H,9
3,2,4,4959223964.0,4959355723.0,9,L,10
4,1,4,4960723980.0,4960923392.0,10,K,13
4,2,1,4962159073.0,4962325145.0,13,J,14
1,1,1,4970333696.0,4970567179.0,14,F,3
1,2,2,4971268600.0,4971501639.0,3,B,4
2,2,3,4972269460.0,4972535593.0,4,C,5
3,1,3,4973837119.0,4974070207.0,5,G,11
1,4,4,4974670985.0,4974738136.0,11,G,12
4,2,1,4979608614.0,4979809086.0,12,F,3
3,2,4,4980509489.0,4980609534.0,3,F,1
4,2,1,4982712139.0,4982746293.0,1,E,2
1,2,2,4983647050.0,4983747538.0,2,A,0
2,1,2,4984182025.0,4984414923.0,0,B,4
2,1,2,4985915910.0,4986149164.0,4,C,6
2,2,3,4990052992.0,4990319735.0,6,D,7
3,2,4,4998961950.0,4999228986.0,7,H,8
4,2,1,4999962126.0,5000228958.0,8,G,5
3,2,4,5001598586.0,5001665175.0,5,G,12
4,1,4,5002732862.0,5003000281.0,12,F,1
4,2,1,5004100917.0,5004133812.0,1,E,2
1,2,2,5004935053.0,5005035064.0,2,A,0
2,1,2,5005402636.0,5005603274.0,0,B,4
2,1,2,5006403226.0,5006636766.0,4,C,6
4,4,3,5007503449.0,5007569896.0,6,C,5
3,2,4,5008371423.0,5008938868.0,5,G,12
4,1,4,5009907059.0,5010173337.0,12,F,1
2,2,3,5012976273.0,5014678126.0,1,F,14
3,2,4,5015644824.0,5015913316.0,14,J,15
4,2,1,5017081094.0,5017281114.0,15,I,16
1,1,1,5017579787.0,5017814857.0,16,E,2
3,4,2,5019049134.0,5019148926.0,2,E,1
2,1,2,5019616342.0,5019916772.0,1,F,12
2,1,2,5020717924.0,5033695852.0,12,G,8
4,2,1,5042006043.0,5042439493.0,8,G,5
3,2,4,5044440764.0,5044507761.0,5,G,12
4,1,4,5045408643.0,5045709437.0,12,F,1
4,2,1,5048144668.0,5048245492.0,1,E,2
1,2,2,5049045131.0,5049145625.0,2,A,0
2,1,2,5049478666.0,5049746202.0,0,B,4
2,1,2,5050446486.0,5050680120.0,4,C,6
2,2,3,5051881757.0,5052148993.0,6,D,7
3,1,3,5053616709.0,5057054325.0,7,H,9
3,2,4,5060357756.0,5060491028.0,9,L,10
4,1,4,5060958150.0,5061224314.0,10,K,13
4,2,1,5070167999.0,5070300471.0,13,J,14
1,1,1,5072268908.0,5072536046.0,14,F,3
1,2,2,5073069162.0,5073271507.0,3,B,4
2,1,2,5074070418.0,5074336615.0,4,C,6
4,4,3,5075337836.0,5075438331.0,6,C,5
3,2,4,5076439293.0,5076607069.0,5,G,12
4,1,4,5077875247.0,5078108388.0,12,F,1
4,2,1,5091120971.0,5091219615.0,1,E,2
1,2,2,5092089204.0,5092189212.0,2,A,0
2,1,2,5092522226.0,5092789686.0,0,B,4
2,2,3,5093589812.0,5093823909.0,4,C,5
3,1,3,5095592185.0,5096359345.0,5,G,11
1,2,2,5097794638.0,5103565866.0,11,G,8
4,2,1,5108170879.0,5108404395.0,8,G,5
3,2,4,5111441326.0,5111508782.0,5,G,12
4,1,4,5112408809.0,5112910133.0,12,F,1
2,2,3,5114144954.0,5114711802.0,1,F,14
3,4,2,5115578696.0,5116647307.0,14,J,13
4,2,1,5122985904.0,5123053228.0,13,J,14
1,1,1,5123787162.0,5124320907.0,14,F,3
1,2,2,5125488918.0,5125588752.0,3,B,4
2,3,4,5127024237.0,5132262618.0,4,C,4
2,1,2,5133463811.0,5133796181.0,4,C,6
2,2,3,5141504612.0,5147476971.0,6,D,7
3,1,3,5150513481.0,5150979977.0,7,H,9
3,2,4,5157321678.0,5157486833.0,9,L,10
4,1,4,5157921262.0,5158288553.0,10,K,13
4,2,1,5159288272.0,5159387943.0,13,J,14
1,1,1,5161024224.0,5161258030.0,14,F,3
3,2,4,5163260346.0,5163325924.0,3,F,1
4,2,1,5164894810.0,5164961607.0,1,E,2
1,2,2,5171268837.0,5171434572.0,2,A,0
2,1,2,5171768687.0,5172034630.0,0,B,4
2,1,2,5180775917.0,5181077956.0,4,C,6
2,2,3,5189787147.0,5190053605.0,6,D,7
3,2,4,5191121231.0,5191988262.0,7,H,8
4,2,1,5211541358.0,5211841458.0,8,G,5
3,2,4,5213376913.0,5213442233.0,5,G,12
2,2,3,5214811474.0,5214878545.0,12,G,11
1,2,2,5215645142.0,5215778769.0,11,G,8
2,2,3,5228724724.0,5229025955.0,8,H,9
3,2,4,5230227033.0,5230394041.0,9,L,10
4,1,4,5232327562.0,5232761423.0,10,K,13
4,2,1,5236298377.0,5236433789.0,13,J,14
1,1,1,5237934933.0,5238168301.0,14,F,3
1,2,2,5238835626.0,5239035572.0,3,B,4
2,1,2,5240204133.0,5240669261.0,4,C,6
2,2,3,5247510659.0,5247810412.0,6,D,7
3,1,3,5255684598.0,5256385494.0,7,H,9
1,4,4,5257554398.0,5257788137.0,9,H,8
4,2,1,5258956648.0,5259088207.0,8,G,5
3,2,4,5261423958.0,5261489871.0,5,G,12
4,1,4,5263693442.0,5264326943.0,12,F,1
4,2,1,5266362433.0,5266429113.0,1,E,2
1,2,2,5271133336.0,5271368488.0,2,A,0
2,1,2,5271734838.0,5272001136.0,0,B,4
2,1,2,5272769562.0,5273001925.0,4,C,6
4,4,3,5274004261.0,5274136124.0,6,C,5
3,2,4,5275103501.0,5275204212.0,5,G,12
4,1,4,5289518781.0,5289819450.0,12,F,1
4,2,1,5292021628.0,5292088225.0,1,E,2
1,2,2,5292988673.0,5293121794.0,2,A,0
2,1,2,5293455678.0,5293723331.0,0,B,4
2,1,2,5294590342.0,5295057915.0,4,C,6
4,4,3,5295993508.0,5296026081.0,6,C,5
3,2,4,5297025491.0,5297127613.0,5,G,12
2,2,3,5303733106.0,5303932787.0,12,G,11
1,2,2,5304200264.0,5304300881.0,11,G,8
2,2,3,5305969093.0,5306335999.0,8,H,9
3,2,4,5308037911.0,5308170417.0,9,L,10
4,1,4,5308970719.0,5309238664.0,10,K,13
4,2,1,5312241076.0,5312308329.0,13,J,14
1,1,1,5323920072.0,5324185901.0,14,F,3
1,2,2,5324987887.0,5325222198.0,3,B,4
2,2,3,5326122476.0,5326322208.0,4,C,5
1,2,2,5327990441.0,5328190182.0,5,C,6
2,2,3,5329993174.0,5330293883.0,6,D,7
3,2,4,5331794628.0,5331928823.0,7,H,8
4,2,1,5333631294.0,5339936381.0,8,G,5
3,2,4,5343505902.0,5343572780.0,5,G,12
4,1,4,5363560236.0,5364193237.0,12,F,1
4,2,1,5365928755.0,5366029274.0,1,E,2
1,2,2,5370833670.0,5371034254.0,2,A,0
2,1,2,5371401793.0,5371701458.0,0,B,4
2,2,3,5372435098.0,5372636098.0,4,C,5
1,2,2,5374137962.0,5374471869.0,5,C,6
2,2,3,5375337911.0,5375572128.0,6,D,7
3,1,3,5376573433.0,5376905778.0,7,H,9
1,4,4,5378174461.0,5378341166.0,9,H,8
4,2,1,5379375919.0,5379542593.0,8,G,5
3,2,4,5380509316.0,5380543551.0,5,G,12
4,1,4,5382177774.0,5382512508.0,12,F,1
4,2,1,5383612736.0,5383646014.0,1,E,2
1,2,2,5388451777.0,5388617934.0,2,A,0
2,1,2,5388984859.0,5389252160.0,0,B,4
2,1,2,5390219401.0,5390520236.0,4,C,6
2,2,3,5392089561.0,5392288793.0,6,D,7
3,1,3,5392956098.0,5393289347.0,7,H,9
1,4,4,5393790564.0,5393989415.0,9,H,8
4,2,1,5394957918.0,5395158190.0,8,G,5
3,2,4,5396526499.0,5396592645.0,5,G,12
2,2,3,5398794013.0,5398862489.0,12,G,11
1,2,2,5400396606.0,5400462888.0,11,G,8
4,2,1,5402098322.0,5402298177.0,8,G,5
1,2,2,5403531684.0,5403766947.0,5,C,6
2,2,3,5406133607.0,5406369350.0,6,D,7
3,1,3,5407169143.0,5407469906.0,7,H,9
1,4,4,5408871945.0,5408972115.0,9,H,8
4,2,1,5409472201.0,5409539503.0,8,G,5
3,2,4,5411074826.0,5411107272.0,5,G,12
4,1,4,5412242356.0,5412541257.0,12,F,1
2,2,3,5414711320.0,5414777815.0,1,F,14
3,2,4,5416113068.0,5416545351.0,14,J,15
2,1,2,5417813897.0,5418113238.0,15,J,13
4,2,1,5427024029.0,5427056912.0,13,J,14
1,1,1,5428289678.0,5428592067.0,14,F,3
1,2,2,5429258144.0,5429491902.0,3,B,4
2,1,2,5430491602.0,5430893474.0,4,C,6
2,2,3,5432160727.0,5432462366.0,6,D,7
3,1,3,5433463583.0,5433963818.0,7,H,9
3,2,4,5435197672.0,5435331920.0,9,L,10
4,1,4,5435866135.0,5436098988.0,10,K,13
4,2,1,5438768100.0,5438901280.0,13,J,14
3,2,4,5442004974.0,5442070155.0,14,J,15
4,2,1,5442504520.0,5442605393.0,15,I,16
1,1,1,5442972995.0,5443173000.0,16,E,2
1,2,2,5443905569.0,5444073435.0,2,A,0
2,1,2,5444507619.0,5444774171.0,0,B,4
2,1,2,5445609758.0,5445843158.0,4,C,6
2,2,3,5447276941.0,5447476399.0,6,D,7
3,2,4,5448445241.0,5449112476.0,7,H,8
4,2,1,5452515603.0,5452615140.0,8,G,5
3,2,4,5454383097.0,5454417105.0,5,G,12
4,2,1,5455451982.0,5455517528.0,12,F,3
3,2,4,5455752647.0,5458955946.0,3,F,1
4,2,1,5470465510.0,5470567925.0,1,E,2
1,2,2,5471668247.0,5471800489.0,2,A,0
2,1,2,5472234797.0,5472468936.0,0,B,4
2,1,2,5473668771.0,5473837145.0,4,C,6
4,4,3,5474603289.0,5474771717.0,6,C,5
3,2,4,5475571495.0,5475772644.0,5,G,12
4,1,4,5477239026.0,5477739657.0,12,F,1
2,2,3,5479139848.0,5479275619.0,1,F,14
1,2,2,5487450975.0,5487584134.0,14,F,12
2,1,2,5488350632.0,5488684653.0,12,G,8
2,2,3,5490052840.0,5490451996.0,8,H,9
3,2,4,5491620048.0,5491789273.0,9,L,10
4,1,4,5492622007.0,5492855672.0,10,K,13
4,2,1,5494422809.0,5494623540.0,13,J,14
1,1,1,5498260615.0,5498459679.0,14,F,3
1,2,2,5499495292.0,5499663133.0,3,B,4
2,2,3,5500396267.0,5500629789.0,4,C,5
3,1,3,5502898630.0,5503131990.0,5,G,11
1,4,4,5503766302.0,5503867007.0,11,G,12
4,2,1,5504734088.0,5504967430.0,12,F,3
3,2,4,5505768914.0,5505803266.0,3,F,1
2,2,3,5507304772.0,5507570784.0,1,F,14
3,4,2,5508604663.0,5509372193.0,14,J,13
2,4,1,5552048374.0,5552180500.0,13,K,11
3,2,4,5555851601.0,5555984195.0,11,K,13
2,4,1,5558788665.0,5558856512.0,13,K,11
1,1,1,5559356086.0,5559688570.0,11,G,5
3,2,4,5560956226.0,5561024110.0,5,G,12
2,2,3,5561990702.0,5562059005.0,12,G,11
3,2,4,5563325937.0,5564593505.0,11,K,13
4,2,1,5577840803.0,5577974064.0,13,J,14
1,2,2,5580009112.0,5580376588.0,14,F,12
2,1,2,5581611060.0,5581878240.0,12,G,8
2,2,3,5582912177.0,5583312760.0,8,H,9
3,2,4,5584013097.0,5584146280.0,9,L,10
4,1,4,5585180105.0,5585848861.0,10,K,13
2,4,1,5590386104.0,5590453229.0,13,K,11
1,1,1,5590652240.0,5591789286.0,11,G,5
3,2,4,5592822353.0,5592889529.0,5,G,12
2,2,3,5600962262.0,5601230345.0,12,G,11
3,2,4,5602631628.0,5602831921.0,11,K,13
4,2,1,5608805076.0,5608971054.0,13,J,14
1,2,2,5609704994.0,5609971548.0,14,F,12
4,2,1,5610539798.0,5610605860.0,12,F,3
1,2,2,5611139835.0,5611339205.0,3,B,4
1,0,0,5612008312.0,5612908397.0,4,0,12
2,2,3,5614911139.0,5615078299.0,12,G,11
3,2,4,5616613612.0,5616713519.0,11,K,13
2,4,1,5621784456.0,5621819316.0,13,K,11
1,1,1,5622152051.0,5622918567.0,11,G,5
3,2,4,5623451904.0,5623486437.0,5,G,12
2,2,3,5623652624.0,5623752165.0,12,G,11
3,2,4,5625822057.0,5625888608.0,11,K,13
4,2,1,5628424409.0,5628523453.0,13,J,14
1,4,4,5629091339.0,5629825699.0,14,F,1
2,2,3,5631394049.0,5631494057.0,1,F,14
1,2,2,5635365251.0,5635431522.0,14,F,12
2,1,2,5636565333.0,5636867126.0,12,G,8
2,2,3,5638334610.0,5638735100.0,8,H,9
3,2,4,5639802230.0,5640002169.0,9,L,10
4,1,4,5641238473.0,5641903978.0,10,K,13
2,4,1,5645373702.0,5645841328.0,13,K,11
1,1,1,5647009783.0,5647309256.0,11,G,5
1,2,2,5647944067.0,5648244578.0,5,C,6
2,2,3,5649579043.0,5652281841.0,6,D,7
3,2,4,5655485053.0,5656051984.0,7,H,8
4,1,4,5656818923.0,5658454489.0,8,G,12
4,1,4,5658854706.0,5659221247.0,12,F,1
4,2,1,5660055311.0,5660422238.0,1,E,2
1,2,2,5666029107.0,5666161622.0,2,A,0
2,1,2,5666429004.0,5666663185.0,0,B,4
2,2,3,5667429705.0,5667731184.0,4,C,5
1,2,2,5670300049.0,5670333244.0,5,C,6
2,2,3,5671701949.0,5671968729.0,6,D,7
3,1,3,5673002318.0,5673435605.0,7,H,9
1,4,4,5674903581.0,5675170873.0,9,H,8
4,2,1,5676538508.0,5676705810.0,8,G,5
3,2,4,5678206713.0,5678241056.0,5,G,12
4,1,4,5679442731.0,5679776243.0,12,F,1
4,2,1,5680942969.0,5681009715.0,1,E,2
1,2,2,5681845127.0,5681978656.0,2,A,0
2,1,2,5682344954.0,5682645595.0,0,B,4
2,2,3,5684112667.0,5689753021.0,4,C,5
1,2,2,5690753275.0,5690853519.0,5,C,6
2,2,3,5691688554.0,5691887885.0,6,D,7
3,1,3,5692422083.0,5693055240.0,7,H,9
1,4,4,5694023063.0,5694190187.0,9,H,8
4,1,4,5695157718.0,5695590643.0,8,G,12
4,1,4,5697026046.0,5697359567.0,12,F,1
4,2,1,5699328179.0,5699494693.0,1,E,2
1,2,2,5700162268.0,5700262986.0,2,A,0
2,1,2,5700662254.0,5700928817.0,0,B,4
2,1,2,5701863178.0,5702498550.0,4,C,6
2,2,3,5703865420.0,5703999557.0,6,D,7
3,1,3,5704900909.0,5705303040.0,7,H,9
3,2,4,5706434888.0,5706568603.0,9,L,10
4,1,4,5707503714.0,5708236736.0,10,K,13
2,4,1,5711206748.0,5711274160.0,13,K,11
1,2,2,5712140053.0,5712975780.0,11,G,8
4,2,1,5713742731.0,5714576909.0,8,G,5
1,2,2,5715644789.0,5716012612.0,5,C,6
4,1,4,5717245817.0,5717446533.0,6,C,4
4,1,4,5718747802.0,5719114009.0,4,B,0
2,2,3,5720248980.0,5720582467.0,0,B,3
3,2,4,5721017532.0,5721549736.0,3,F,1
2,2,3,5724086523.0,5724219789.0,1,F,14
1,2,2,5734896451.0,5735764614.0,14,F,12
2,1,2,5736833253.0,5737198645.0,12,G,8
2,2,3,5738734088.0,5739033794.0,8,H,9
3,2,4,5739836217.0,5740001844.0,9,L,10
4,1,4,5740870075.0,5741203819.0,10,K,13
4,2,1,5743438553.0,5743606975.0,13,J,14
1,1,1,5745408139.0,5748845273.0,14,F,3
3,2,4,5755516735.0,5756417907.0,3,F,1
2,2,3,5756986301.0,5757153073.0,1,F,14
1,4,4,5758420084.0,5758454127.0,14,F,1
4,2,1,5759355041.0,5759588506.0,1,E,2
1,2,2,5760658196.0,5760789835.0,2,A,0
2,1,2,5761256746.0,5761489727.0,0,B,4
2,1,2,5773569469.0,5773835872.0,4,C,6
2,2,3,5774970803.0,5775171099.0,6,D,7
3,1,3,5776404610.0,5777074018.0,7,H,9
1,4,4,5777905725.0,5778106203.0,9,H,8
4,2,1,5795090982.0,5795423374.0,8,G,5
3,2,4,5796859259.0,5796893112.0,5,G,12
4,1,4,5798093643.0,5798494077.0,12,F,1
4,2,1,5811273861.0,5811373774.0,1,E,2
1,2,2,5812274957.0,5812375046.0,2,A,0
2,1,2,5812774879.0,5813007749.0,0,B,4
1,0,0,5813810021.0,5853650079.0,4,0,2
1,2,2,5854916357.0,5854950869.0,2,A,0
2,1,2,5855384385.0,5855585832.0,0,B,4
2,1,2,5856218341.0,5856385004.0,4,C,6
2,2,3,5856951896.0,5857152104.0,6,D,7
3,1,3,5857719175.0,5858154507.0,7,H,9
1,4,4,5858988967.0,5859154702.0,9,H,8
4,2,1,5862091729.0,5862292407.0,8,G,5
3,2,4,5863794209.0,5863859301.0,5,G,12
4,1,4,5864359695.0,5864626262.0,12,F,1
4,2,1,5865996175.0,5866061026.0,1,E,2
1,2,2,5866929255.0,5867063298.0,2,A,0
2,1,2,5867362788.0,5867664124.0,0,B,4
2,1,2,5868263571.0,5868497507.0,4,C,6
4,4,3,5869365320.0,5869398465.0,6,C,5
3,2,4,5870065163.0,5870231877.0,5,G,12
4,1,4,5871801840.0,5872067599.0,12,F,1
2,2,3,5873534991.0,5873568219.0,1,F,14
3,2,4,5875437751.0,5876071688.0,14,J,15
2,1,2,5876706362.0,5876973705.0,15,J,13
2,1,2,5879374981.0,5885581874.0,13,K,10
4,2,1,5888750683.0,5888918544.0,10,K,11
1,1,1,5889651129.0,5889984704.0,11,G,5
3,4,2,5890886727.0,5899529477.0,5,G,8
2,2,3,5900295984.0,5900662472.0,8,H,9
3,2,4,5902231584.0,5902363936.0,9,L,10
4,2,1,5904199860.0,5904400425.0,10,K,11
3,2,4,5905668479.0,5905735035.0,11,K,13
4,2,1,5921483353.0,5921750451.0,13,J,14
1,2,2,5923718917.0,5924486722.0,14,F,12
2,1,2,5926187847.0,5926555260.0,12,G,8
2,2,3,5940770017.0,5941137120.0,8,H,9
3,2,4,5949278498.0,5949411559.0,9,L,10
4,1,4,5951245506.0,5951514495.0,10,K,13
4,2,1,5952514216.0,5952782832.0,13,J,14
1,1,1,5955717391.0,5956018789.0,14,F,3
3,2,4,5957820847.0,5957953361.0,3,F,1
4,2,1,5973435514.0,5973536209.0,1,E,2
1,2,2,5975570808.0,5975738195.0,2,A,0
2,1,2,5976037435.0,5976239237.0,0,B,4
2,3,4,5977539301.0,5980741595.0,4,C,4
2,2,3,5981643920.0,5982778796.0,4,C,5
1,3,3,5983312885.0,5983913196.0,5,C,5
1,2,2,5984779682.0,5984946499.0,5,C,6
2,2,3,5992688410.0,5998461221.0,6,D,7
3,2,4,6001497215.0,6002131751.0,7,H,8
4,1,4,6016211969.0,6016978509.0,8,G,12
4,1,4,6018079278.0,6019447673.0,12,F,1
2,2,3,6030626019.0,6031427181.0,1,F,14
3,4,2,6032328101.0,6033262525.0,14,J,13
4,2,1,6046776155.0,6046842430.0,13,J,14
1,1,1,6048910777.0,6049112167.0,14,F,3
1,2,2,6049811579.0,6050045947.0,3,B,4
2,1,2,6051113828.0,6051414342.0,4,C,6
2,2,3,6052413976.0,6052615113.0,6,D,7
3,2,4,6053514909.0,6053883350.0,7,H,8
4,2,1,6069899038.0,6070165502.0,8,G,5
3,2,4,6071767282.0,6071833261.0,5,G,12
4,1,4,6073101350.0,6073368187.0,12,F,1
4,2,1,6074603843.0,6074670036.0,1,E,2
1,2,2,6075470954.0,6075571248.0,2,A,0
2,1,2,6075904646.0,6076138748.0,0,B,4
2,1,2,6077071499.0,6077306905.0,4,C,6
2,2,3,6078572414.0,6078873185.0,6,D,7
3,1,3,6079709476.0,6080241438.0,7,H,9
1,4,4,6081276881.0,6081342005.0,9,H,8
4,1,4,6082512586.0,6082778756.0,8,G,12
4,1,4,6083679860.0,6083979166.0,12,F,1
2,2,3,6085180815.0,6085280893.0,1,F,14
3,4,2,6092922339.0,6093488995.0,14,J,13
4,2,1,6114809980.0,6114943187.0,13,J,14
1,1,1,6115577521.0,6115845371.0,14,F,3
1,2,2,6116646218.0,6116945082.0,3,B,4
2,1,2,6117746081.0,6118079429.0,4,C,6
4,4,3,6119014185.0,6119215014.0,6,C,5
3,2,4,6120182690.0,6120349010.0,5,G,12
4,1,4,6121515139.0,6121816572.0,12,F,1
2,2,3,6123185421.0,6123786462.0,1,F,14
3,4,2,6127456898.0,6127924288.0,14,J,13
2,1,2,6134730108.0,6144440367.0,13,K,10
4,2,1,6148710934.0,6148843966.0,10,K,11
1,2,2,6150079296.0,6150579059.0,11,G,8
4,2,1,6151546489.0,6151846744.0,8,G,5
3,2,4,6154248204.0,6154316296.0,5,G,12
4,2,1,6155084976.0,6155284939.0,12,F,3
3,2,4,6155917382.0,6156017122.0,3,F,1
4,2,1,6157286849.0,6157353429.0,1,E,2
1,2,2,6158520138.0,6158619673.0,2,A,0
2,1,2,6159021158.0,6159289015.0,0,B,4
2,1,2,6160189855.0,6160455278.0,4,C,6
2,2,3,6168496932.0,6168731592.0,6,D,7
3,2,4,6169798800.0,6170064703.0,7,H,8
