Allo-,Ego,Allo+,Ts exit,Ts entry,Alley-,Inter,Alley+
4,2,1,3402167626.0,3402267170.0,15,I,16
1,1,1,3402701795.0,3402868847.0,16,E,2
1,2,2,3403669786.0,3403802864.0,2,A,0
2,1,2,3404469631.0,3404670470.0,0,B,4
2,1,2,3413645370.0,3413980510.0,4,C,6
4,4,3,3414881440.0,3415046070.0,6,C,5
3,2,4,3415881063.0,3416047800.0,5,G,12
4,2,1,3426725396.0,3427025156.0,12,F,3
3,2,4,3428226682.0,3428292947.0,3,F,1
2,2,3,3429695210.0,3429829449.0,1,F,14
3,4,2,3436002121.0,3436235915.0,14,J,13
4,2,1,3446578520.0,3446644786.0,13,J,14
3,2,4,3448813308.0,3448948110.0,14,J,15
4,2,1,3450381148.0,3451951931.0,15,I,16
1,1,1,3452383073.0,3452618080.0,16,E,2
1,2,2,3457488782.0,3457657240.0,2,A,0
2,1,2,3458024003.0,3458324276.0,0,B,4
2,1,2,3458989153.0,3459191878.0,4,C,6
2,2,3,3460459377.0,3461827101.0,6,D,7
3,1,3,3462393938.0,3462862066.0,7,H,9
3,2,4,3463861942.0,3463995420.0,9,L,10
4,1,4,3472570877.0,3472804432.0,10,K,13
4,2,1,3473638556.0,3473906257.0,13,J,14
1,1,1,3475807680.0,3476277055.0,14,F,3
3,1,3,3478410794.0,3479078298.0,3,F,14
1,2,2,3482849047.0,3482881170.0,14,F,12
4,2,1,3496127145.0,3496627277.0,12,F,3
1,2,2,3497396287.0,3497596765.0,3,B,4
2,1,2,3498364177.0,3498564025.0,4,C,6
4,4,3,3499631758.0,3499695525.0,6,C,5
3,1,3,3500332624.0,3500699141.0,5,G,11
3,2,4,3501967557.0,3502167664.0,11,K,13
4,2,1,3503302216.0,3503534921.0,13,J,14
1,1,1,3505637168.0,3506205256.0,14,F,3
1,2,2,3506971378.0,3507238780.0,3,B,4
2,1,2,3507906047.0,3508108885.0,4,C,6
2,2,3,3509174654.0,3509375130.0,6,D,7
3,1,3,3509741392.0,3510010185.0,7,H,9
3,2,4,3516047629.0,3518849887.0,9,L,10
4,1,4,3526391449.0,3526691898.0,10,K,13
4,2,1,3527859619.0,3528460065.0,13,J,14
1,2,2,3534065775.0,3534232827.0,14,F,12
2,1,2,3535267431.0,3535900752.0,12,G,8
2,2,3,3538035973.0,3538370628.0,8,H,9
3,2,4,3539539065.0,3539670383.0,9,L,10
4,1,4,3540604751.0,3540772536.0,10,K,13
4,2,1,3542407379.0,3542507976.0,13,J,14
3,2,4,3543876445.0,3543909985.0,14,J,15
4,2,1,3544376260.0,3544476575.0,15,I,16
1,1,1,3544776432.0,3544976597.0,16,E,2
1,2,2,3548614164.0,3548814014.0,2,A,0
2,1,2,3549114590.0,3549380812.0,0,B,4
2,1,2,3550015224.0,3550248103.0,4,C,6
4,4,3,3551050823.0,3551215984.0,6,C,5
3,1,3,3551750973.0,3551950675.0,5,G,11
1,2,2,3553485027.0,3553553454.0,11,G,8
2,2,3,3554419562.0,3557255550.0,8,H,9
3,2,4,3557823267.0,3557989210.0,9,L,10
4,2,1,3567499592.0,3567867559.0,10,K,11
3,2,4,3569734383.0,3569802195.0,11,K,13
4,1,4,3571903049.0,3572170378.0,13,J,15
2,4,1,3572903825.0,3573038328.0,15,J,14
1,2,2,3573338102.0,3574039161.0,14,F,12
2,2,3,3575574922.0,3575841126.0,12,G,11
1,2,2,3577141992.0,3577643192.0,11,G,8
4,2,1,3578442998.0,3579977255.0,8,G,5
1,2,2,3583581941.0,3583883094.0,5,C,6
2,2,3,3584783343.0,3585050097.0,6,D,7
3,1,3,3586186413.0,3586417727.0,7,H,9
3,2,4,3587286159.0,3587419158.0,9,L,10
4,1,4,3588186274.0,3588387039.0,10,K,13
4,2,1,3589955052.0,3590054982.0,13,J,14
1,1,1,3591857201.0,3592190516.0,14,F,3
1,2,2,3592824459.0,3593058402.0,3,B,4
2,3,4,3595027148.0,3598664128.0,4,C,4
2,1,2,3601500852.0,3609541244.0,4,C,6
4,4,3,3613044788.0,3613144919.0,6,C,5
1,4,4,3614346693.0,3614680089.0,5,C,4
4,1,4,3615947490.0,3616381700.0,4,B,0
4,4,3,3617282486.0,3617584108.0,0,A,2
1,2,2,3619017270.0,3624623275.0,2,A,0
2,1,2,3626658217.0,3626958732.0,0,B,4
2,2,3,3627760447.0,3628559564.0,4,C,5
3,2,4,3628994031.0,3629159993.0,5,G,12
4,1,4,3630996127.0,3631296143.0,12,F,1
2,2,3,3654986181.0,3655154535.0,1,F,14
1,2,2,3659490691.0,3659791515.0,14,F,12
2,1,2,3660958962.0,3661261265.0,12,G,8
2,2,3,3662060682.0,3662762424.0,8,H,9
3,2,4,3663663444.0,3663795285.0,9,L,10
4,1,4,3664495988.0,3664695881.0,10,K,13
4,2,1,3666197640.0,3666430915.0,13,J,14
3,2,4,3667532533.0,3668033026.0,14,J,15
2,4,1,3668533636.0,3668601057.0,15,J,14
1,2,2,3669667868.0,3669869267.0,14,F,12
4,2,1,3670868657.0,3670969879.0,12,F,3
3,2,4,3672071503.0,3672137564.0,3,F,1
4,2,1,3672704672.0,3672837093.0,1,E,2
1,2,2,3678142025.0,3678310308.0,2,A,0
2,1,2,3678978544.0,3679211183.0,0,B,4
2,1,2,3679845260.0,3680044867.0,4,C,6
4,4,3,3681146477.0,3681312482.0,6,C,5
3,1,3,3681680448.0,3681947545.0,5,G,11
3,2,4,3682547859.0,3682647087.0,11,K,13
4,2,1,3683984173.0,3684115735.0,13,J,14
3,2,4,3692491477.0,3692522626.0,14,J,15
4,2,1,3693057902.0,3693125879.0,15,I,16
1,2,2,3693492388.0,3693659013.0,16,E,1
2,2,3,3694760776.0,3695160030.0,1,F,14
1,2,2,3696328231.0,3696395456.0,14,F,12
2,2,3,3697062552.0,3697396265.0,12,G,11
1,2,2,3698597148.0,3698698347.0,11,G,8
4,2,1,3699865239.0,3700232173.0,8,G,5
1,2,2,3700700604.0,3700900034.0,5,C,6
2,2,3,3704234830.0,3708706692.0,6,D,7
3,1,3,3711810898.0,3712211836.0,7,H,9
3,2,4,3718650572.0,3718784225.0,9,L,10
4,1,4,3728861978.0,3729061068.0,10,K,13
4,2,1,3737903240.0,3738103182.0,13,J,14
1,1,1,3738970377.0,3739170757.0,14,F,3
1,2,2,3739704212.0,3739904634.0,3,B,4
2,3,4,3742473914.0,3743541484.0,4,C,4
2,3,4,3744142057.0,3746744506.0,4,C,4
2,1,2,3750481558.0,3750751069.0,4,C,6
2,2,3,3751582440.0,3751816959.0,6,D,7
3,1,3,3752583084.0,3757555905.0,7,H,9
3,2,4,3760759328.0,3760892196.0,9,L,10
4,2,1,3761860476.0,3762060126.0,10,K,11
1,2,2,3763062299.0,3763795126.0,11,G,8
4,2,1,3764562452.0,3764629680.0,8,G,5
1,4,4,3765062408.0,3766130283.0,5,C,4
4,1,4,3766597908.0,3767131142.0,4,B,0
2,2,3,3768532351.0,3768567020.0,0,B,3
1,2,2,3769502235.0,3769601270.0,3,B,4
2,1,2,3770435265.0,3770769393.0,4,C,6
4,4,3,3771569813.0,3771702962.0,6,C,5
3,1,3,3772003256.0,3772238206.0,5,G,11
3,2,4,3772937279.0,3773037557.0,11,K,13
4,1,4,3774239829.0,3774539140.0,13,J,15
2,4,1,3775272787.0,3775340345.0,15,J,14
1,2,2,3780012167.0,3780311566.0,14,F,12
2,2,3,3781013117.0,3781246141.0,12,G,11
1,2,2,3782413530.0,3782547763.0,11,G,8
4,2,1,3782781196.0,3783014592.0,8,G,5
1,4,4,3783447356.0,3787585952.0,5,C,4
4,1,4,3788286073.0,3788586979.0,4,B,0
2,2,3,3791023704.0,3791055920.0,0,B,3
3,1,3,3791456393.0,3791723216.0,3,F,14
3,2,4,3793457740.0,3793792273.0,14,J,15
4,2,1,3794826898.0,3794960072.0,15,I,16
1,1,1,3795259568.0,3795459740.0,16,E,2
1,2,2,3796294637.0,3796361318.0,2,A,0
2,1,2,3797128524.0,3797328624.0,0,B,4
2,2,3,3798061417.0,3798593426.0,4,C,5
3,1,3,3799063863.0,3799297649.0,5,G,11
3,4,2,3799798041.0,3800498931.0,11,K,10
2,3,4,3802266861.0,3805202942.0,10,L,10
4,2,1,3805570590.0,3805704036.0,10,K,11
1,1,1,3806636959.0,3806938241.0,11,G,5
3,2,4,3809273253.0,3809341907.0,5,G,12
4,1,4,3810375893.0,3810841735.0,12,F,1
2,2,3,3828693115.0,3828760297.0,1,F,14
1,2,2,3830061941.0,3830261381.0,14,F,12
2,2,3,3831029778.0,3831296319.0,12,G,11
1,2,2,3832131193.0,3832232124.0,11,G,8
2,2,3,3832764707.0,3833098205.0,8,H,9
3,2,4,3833965074.0,3834098107.0,9,L,10
4,1,4,3834967100.0,3835233738.0,10,K,13
4,2,1,3840171764.0,3840338491.0,13,J,14
1,2,2,3848347235.0,3848513140.0,14,F,12
4,2,1,3849448027.0,3849613660.0,12,F,3
1,2,2,3850348865.0,3850515762.0,3,B,4
