TT1\cl-maze1.1,field 0,timestamps,2939271899.0,2979179316.0,2987853805.0,3141641519.0,3172339239.0,3219619162.0,3253285571.0,3275474983.0,3339071605.0,3371002614.0,3381447590.0,3413879608.0,3459158376.0,3498497247.0,3508040380.0,3550182372.0,3583581941.0,3609474442.0,3627926575.0,3679979737.0,3700765563.0,3750681935.0,3765096287.0,3770670646.0,3784348399.0,3798230397.0,3851349853.0,3876006414.0,3896962026.0,3938103752.0,3957823827.0,3986617977.0,4041439199.0,4107238900.0,4135966141.0,4144342626.0,4169734126.0,4228992787.0,4264394663.0,4268098793.0,4294625213.0,4303702199.0,4335065904.0,4342605917.0,4374037134.0,4398095673.0,4466696977.0,4490254453.0,4519384073.0,4530093710.0,4560258259.0,4588051130.0,4594959701.0,4617114040.0,4654652213.0,4693357572.0,4748546066.0,4764894960.0,4782546664.0,4819148496.0,4861892301.0,4865995008.0,4879609625.0,4901464765.0,4928391328.0,4944041166.0,4954952331.0,4972569513.0,4986082821.0,5006536446.0,5050613528.0,5074236546.0,5093757112.0,5133697042.0,5180976780.0,5240503059.0,5244474125.0,5272902719.0,5294758637.0,5328124212.0,5372736496.0,5390419600.0,5403565230.0,5430693174.0,5445774355.0,5473802987.0,5500563606.0,5612174121.0,5647977914.0,5667629750.0,5670266588.0,5690819221.0,5702364555.0,5715844111.0,5773770053.0,5814009218.0,5816278974.0,5856351737.0,5868430588.0,5983845991.0,5989084586.0,6051313939.0,6077237761.0,6117946840.0,6160356366.0,6164260444.0,6256652416.0,6283678060.0,6321482738.0,6392787569.0,6425319839.0,6473802534.0,6512274135.0,6560289928.0,6582811647.0,6614943369.0,6667828924.0,6728723119.0,6755450923.0,6774102555.0
TT1\cl-maze1.1,field 0,firingrates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.658501678982814,13.712436494278485,14.557873111865266,15.549543065570202,9.985160515295728,6.597575391043791,8.832174552032107,11.531666725606296,8.764705266994127,12.844445205596752,3.0006241298190024,13.994430216773726,0.9984135209152656,13.390555641106328,13.612603455786264,13.829611503163523,12.336236460980484,10.113130999614965,11.669078276177077,9.50255582203321,5.982161195315569,13.677121458309397,7.438428408845779,6.040069823207156,10.015373598473657,12.743730578150748,13.45015403483223,7.491005959940999,10.52104248963475,5.561102927364581,nan,11.32731906630527,21.703923345876824,13.946223362713377,nan,13.02474245199894,9.467609991274019,14.984262581062888,2.497801934297818,12.54952000110112,4.767194077238078,2.551406861689829,15.450359811614671,6.622705372899844,9.882702544284731,11.336170074940181,0.0,8.353012047008786,11.854058411221471,7.421301733430552,12.529737698112857,9.36176188358649,9.424352011542261,12.146899746777631,10.762276682758833,4.977873352946154,6.090019748716042,12.986091895579833,13.476261565252807,14.970626749692002,5.032256765869222,7.84003397010848,3.8302669042633797,9.985430349353898,6.058516983458016,14.983031716580971,12.306688839217726,10.336916280798196,4.495301286330463,9.986037170380003,8.832850214830279,9.76662328115569,9.550672685712831,10.368699430988817,4.2899306747202965,0.0,7.789496642726947,0.0,7.987167284562802,13.326640398377704,7.162358291113402,8.76785354177444,10.536357321917325,0.0,0.0,11.036065863241072,10.331891345697851,7.2506957042528235,10.798150708709626,10.584866815913289,7.840062720501765,10.58519360760158,9.758600114872666,2.536122453214305,4.122806137855495,9.414173123220401,10.896827025583935,9.275901706837267,9.990018306708548,11.410209142002193,8.327621972597127,10.83145588098063,5.672255458938137,3.6017568340763244,12.4902731997457,11.330766105470008,6.153306556194303,8.2179040090803
TT1\cl-maze1.3,field 0,timestamps,2946046642.0,3003436918.0,3154286460.0,3182381195.0,3223122324.0,3281247586.0,3287419692.0,3348914838.0,3392390865.0,3463561910.0,3468701194.0,3511376206.0,3515848495.0,3522953570.0,3538803556.0,3557355834.0,3564196732.0,3587085951.0,3662861644.0,3713277647.0,3718149245.0,3725589437.0,3754119581.0,3760425361.0,3801032205.0,3833365366.0,3859023361.0,3885716452.0,3946076451.0,3993524134.0,4002299609.0,4112442711.0,4117916231.0,4157988944.0,4192356687.0,4196525857.0,4260524521.0,4315446607.0,4410841476.0,4500197992.0,4505635154.0,4524287488.0,4629426500.0,4634164616.0,4644841366.0,4704334298.0,4735133438.0,4754085071.0,4789218813.0,4797059726.0,4832029510.0,4885616649.0,4958754818.0,5057388085.0,5153782815.0,5229893084.0,5307471298.0,5434864154.0,5491154133.0,5583613402.0,5639035756.0,5706068517.0,5739301565.0,5887884115.0,5901697877.0,5941537569.0,5945908084.0,6147008815.0,6207136153.0,6215744944.0,6221516987.0,6311172482.0,6362924674.0,6434663262.0,6443638880.0,6458553564.0,6515644974.0,6525319395.0,6564225734.0,6574435265.0,6648076026.0,6657984879.0,6680743163.0,6715576619.0,6721683178.0,6759053473.0
TT1\cl-maze1.3,field 0,firingrates,3.8850017288257694,0.0,0.0,0.9859743181297409,3.748940924188917,11.292225867101793,0.6659013240781928,4.280136656203159,2.8979935258824634,3.841738801715567,0.0,2.0895191807413194,8.16839972880913,0.3791216206994339,7.9477065364384005,14.256996621091801,0.0,11.523498718586943,4.883933324542253,1.5491658774527168,4.277632615522816,0.0,0.0,5.665763651859868,3.330006498269824,5.713241007358655,2.8083576724331607,5.283843679246031,5.283792494901141,1.796501851594575,0.3484919186466525,4.877290846091514,1.1311820513081554,8.455034588777863,6.354618582175658,0.0,3.186580671476279,4.4119645419233695,5.992647877147293,0.0,2.3064237746162686,5.769095417376747,0.3945594979940595,5.380679210823467,5.988701316848878,4.384868695106925,9.087711868642577,5.999720584441354,6.8351415130611,0.0,13.498393691150754,14.238726488302888,4.700686711569976,4.372121231426683,3.680909331841338,7.230807371291628,9.135316218970921,14.087086367926522,5.000479212591206,4.498246808306463,5.591141192580251,6.665439114962995,8.727744252157,0.0,13.043336485472985,3.526248512363909,1.3801767967042955,0.0,0.0,2.9239392039941006,0.0,5.285722675750279,6.7807643277550245,6.14657900620574,0.0,6.519784612395545,5.16986095141985,0.6658574279392445,5.987076467795943,0.0,5.672535850426574,0.0,6.999566026906332,2.0896137836497473,0.0,14.181759735778058
TT1\cl-maze1.3,field 1,timestamps,2968733562.0,3206806155.0,3239338932.0,3298997422.0,3360759942.0,3364730930.0,3379011842.0,3402335213.0,3452084041.0,3544544927.0,3693223986.0,3795027460.0,3825090558.0,3974738792.0,4332430408.0,4481346029.0,5017413675.0,5442704903.0,6469864505.0,6632993388.0
TT1\cl-maze1.3,field 1,firingrates,0.0,1.7893913251203255,13.847874178215218,15.95911275312649,20.97887427360648,1.3503433382971954,nan,11.551399105459653,9.223433054017036,6.02262700967535,9.967505930666029,23.361366973701774,0.0,4.599995860003726,5.9953296382118335,3.763784862057285,3.736515848431971,2.729041642446422,9.360193344153716,13.056033423445564
TT1\cl-maze1.3,field 2,timestamps,2943175784.0,2991557557.0,2999265155.0,3138570523.0,3180646188.0,3184917533.0,3222287750.0,3279979974.0,3328927623.0,3347647059.0,3390355396.0,3462161207.0,3509676081.0,3537970166.0,3554218672.0,3586085181.0,3661726950.0,3711676655.0,3715246580.0,3752351256.0,3832798394.0,3857822332.0,3879511428.0,3899564756.0,3944909090.0,3992690929.0,4111376048.0,4157121680.0,4191020583.0,4210241289.0,4243441210.0,4260224234.0,4273369838.0,4313278876.0,4409672921.0,4436299562.0,4498762189.0,4502633007.0,4522786775.0,4627356843.0,4631995915.0,4643440887.0,4703266971.0,4733463795.0,4752350541.0,4787984725.0,4817748015.0,4830493347.0,4871299752.0,4884213556.0,4946376484.0,4957220036.0,4998594279.0,5033663474.0,5053517281.0,5056686105.0,5105168059.0,5150379547.0,5154651314.0,5191019906.0,5223086803.0,5227690952.0,5255485175.0,5305868393.0,5331594184.0,5376439178.0,5392856091.0,5406936760.0,5433396262.0,5448312164.0,5490087194.0,5582879261.0,5638233897.0,5655351880.0,5672902051.0,5692288669.0,5704833347.0,5738666854.0,5776305759.0,5857419377.0,5899562202.0,5928690160.0,5938334331.0,5948177361.0,6001362442.0,6053414570.0,6079540253.0,6169698706.0,6214675933.0,6267196377.0,6306436433.0,6309170547.0,6361423422.0,6400095095.0,6427822266.0,6431692738.0,6457486225.0,6486413681.0,6514444262.0,6562490899.0,6585314227.0,6624084196.0,6646842311.0,6678939900.0,6713974473.0,6737066070.0,6757718633.0
TT1\cl-maze1.3,field 2,firingrates,0.0,0.0,0.0,nan,1.1752400427787375,0.0,0.0,0.8111622413710589,0.0,0.0,0.4996422561446005,1.4612843666683957,1.1402190947279363,0.0,0.0,6.203621467425301,1.8352294312073423,3.188169595319257,0.0,0.24872299396821868,0.0,6.852195571939917,0.0,2.726519216507438,6.161190834964581,0.7886715222543387,0.9659978419608211,2.398665382581132,0.0,0.0,1.4271259538553094,0.0,0.0,0.44109019853469833,2.6401548186785675,0.0,2.8536288170852466,0.3365952781741187,0.0,0.0,0.0,1.6347143581866224,0.9661770403485194,0.6116533417986155,3.5273762611105,0.0,nan,5.987685327177106,5.210036092525031,2.1895556734671833,3.3268459836651862,6.6599578691065195,3.3208304068515373,0.0,1.763380753580765,0.0,0.0,1.0513925957779227,0.0,1.0696754497717846,0.0,0.922432639356511,0.0,3.188415593392838,0.0,3.2118659174454103,7.270565931763921,3.999714020447538,5.573794248959095,7.837942696800943,0.9678256055684814,2.852778106639698,0.8324890506877608,11.979473172718548,2.1718884657084874,5.684933736929175,9.997467308281902,0.0,5.089277232156994,5.880861969700623,0.47594321235967413,0.340509804469055,0.7540826979872401,0.0,5.446971688002908,6.899247981969966,0.5550153406240148,0.0,0.0,8.580266245661603,0.0,0.6513843219610316,0.6809317325082256,3.7387859788048226,1.462054566800542,0.0,0.0,13.805893736035914,4.200349469075827,7.047344648628205,5.507935711374377,2.8497051267620086,0.8327094951365602,2.8292528905062158,0.0,5.708890812467931,6.145105922422647
TT1\cl-maze1.3,field 3,timestamps,2950350286.0,3005471604.0,3037036619.0,3137470412.0,3151482259.0,3187820292.0,3215747652.0,3225891398.0,3255687791.0,3269334505.0,3290791209.0,3326292352.0,3350349182.0,3373372109.0,3393691858.0,3472639044.0,3500532778.0,3526456944.0,3535234027.0,3540639120.0,3551851388.0,3567567020.0,3574606081.0,3588253198.0,3629128184.0,3661059531.0,3664529457.0,3681813684.0,3697062552.0,3728893182.0,3761927153.0,3772137426.0,3781046357.0,3799197065.0,3805670178.0,3831129805.0,3835033209.0,3860358246.0,3887119359.0,3917716747.0,3947512523.0,3960425431.0,3988986891.0,4005703897.0,4031230365.0,4042974485.0,4108439067.0,4120519145.0,4137736228.0,4145544408.0,4156486193.0,4159558038.0,4170868752.0,4196994759.0,4262392467.0,4296862030.0,4317081098.0,4344508730.0,4367065256.0,4375739542.0,4412243710.0,4435132235.0,4468499294.0,4507171357.0,4525456452.0,4532296847.0,4561592547.0,4635799027.0,4641471230.0,4646644151.0,4656652684.0,4676140331.0,4706304550.0,4711640835.0,4736534101.0,4756118718.0,4767164985.0,4783982471.0,4798395602.0,4833230149.0,4886616425.0,4904133701.0,4930594275.0,4933830608.0,4960759171.0,4973936334.0,5008471150.0,5020784522.0,5061024809.0,5076607069.0,5095725341.0,5157986805.0,5214811474.0,5232361469.0,5275204212.0,5297160097.0,5303867252.0,5309006495.0,5398794013.0,5435898226.0,5475705213.0,5488384350.0,5492689662.0,5503032296.0,5552147948.0,5558921450.0,5561990702.0,5581744648.0,5585248283.0,5590487326.0,5601096904.0,5614778123.0,5621883881.0,5641303351.0,5645741844.0,5657953856.0,5707569263.0,5711338938.0,5736765941.0,5740936238.0,5870265448.0,5879575962.0,5888918544.0,5903098426.0,5926555260.0,5951313562.0,6120316216.0,6135296328.0,6148810517.0,6204566859.0,6208703695.0,6223584464.0,6271701737.0,6286114595.0,6304865245.0,6313409081.0,6323652045.0,6354582982.0,6360220873.0,6365126415.0,6446841594.0,6456084586.0,6464825886.0,6527757169.0,6577739008.0,6645673348.0,6661088355.0,6682210106.0,6703298269.0,6722983930.0,6760221082.0
TT1\cl-maze1.3,field 3,firingrates,0.0,0.0,0.0,0.0,1.8713193487559157,0.0,1.6183586606463725,0.0,15.026070231852264,3.458174389394471,0.0,6.718801117801774,0.0,5.299726004165585,0.0,0.0,14.001232108425542,0.0,6.661847929997302,0.0,7.637776678460177,6.995512378808995,5.363254826850473,0.0,24.004848979493858,13.3150916577622,0.0,14.978064624357629,6.245109298780393,0.0,15.385761530413603,10.87618550421996,5.869976115719405,7.29137551799147,10.896263035789685,9.424747673800914,0.0,0.0,0.0,12.440933839113843,0.0,nan,5.350466239628121,0.0,1.0836435564025635,6.424472615043031,5.408328826392644,0.0,10.104174034293566,12.013498366764896,0.0,0.0,9.997772718411065,7.817783111243145,4.728762144052281,0.0,0.0,5.380009268987398,15.011296000240181,6.312573383665585,0.0,2.851590403257657,3.596111165385752,0.0,0.0,2.1433746147284127,12.597510731879382,0.0,6.672382674491148,0.0,14.934289127837514,5.3488063603726195,15.369718580452792,44.157908681444844,0.0,5.951955812680047,0.0,6.919266004262267,0.824891825748201,2.2032740652609775,0.0,0.0,0.0,6.658122076668276,0.0,8.383675307441349,18.404851518860372,4.279997432001541,0.0,nan,1.7888551640000054,0.0,2.067621563225283,0.0,0.0,nan,2.306118825078581,0.0,10.947866260865757,0.0,0.0,8.180427509141627,0.0,6.909091327823717,1.3875052378322728,0.0,14.289758190072837,12.027687737170968,0.0,17.26638580012432,11.478925649085417,10.755427245195436,7.42831103516588,0.0,9.760940620014948,2.7191055230471384,0.0,5.987109752702431,3.7520143627109803,0.0,nan,0.0,3.331974628123865,0.8558148769723324,0.0,0.0,0.0,1.5771452724281887,3.4593756864698624,0.0,11.479701655309203,0.0,8.568020597521517,5.178558548228101,3.7193663687454204,0.0,9.719920491050383,0.0,14.585126088415034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.728564646013008,0.0,0.0
